site,deploy,spl_linear,spl_db
Indra,May,36246175912.6066,105.592621938681
Indra,May,56287552367.8207,107.504123640224
Indra,May,152463553404.417,111.831660374722
Indra,May,120346523523.134,110.804335492307
Indra,May,65985090176.4218,108.194458145477
Indra,May,50179865152.117,107.005294899047
Indra,May,40656757991.4433,106.091327446276
Indra,Jul,64109831044.156,108.069246323402
Indra,Jul,47377530119.3745,106.755724163807
Indra,Jul,76875020885.5417,108.857852467734
Indra,Jul,65825567149.7671,108.183946096536
Indra,Jul,153889010456.537,111.872076070407
Indra,Jul,57162249286.662,107.571093095795
Indra,Jul,46360936928.2397,106.661522042254
Indra,Jul,40901850351.0869,106.117429554178
Indra,Sep,579547435190.878,117.630889881832
Indra,Sep,436869630633.13,116.403518554057
Indra,Sep,325198527130.82,115.121485699466
Indra,Sep,259012866447.384,114.133213381674
Indra,Sep,256344669889.063,114.088242916932
Indra,Sep,240138130497.361,113.80461125279
Indra,Sep,229219620716.648,113.602517895792
Indra,Oct,54558487786.7062,107.368623243502
Indra,Oct,70272147663.1616,108.467832266838
Indra,Oct,108065667788.539,110.336877415183
Indra,Oct,142765252571.514,111.546225179952
Indra,Oct,132179335118.344,111.211635629743
Indra,Oct,72630522677.9262,108.611191695273
Indra,Oct,71455550532.4576,108.540359696139
Indra,Dec,23694284430.1012,103.746435974941
Indra,Dec,45304105146.8469,106.56137556579
Indra,Dec,73853126362.4026,108.683688846608
Indra,Dec,39776674853.351,105.996284752892
Indra,Dec,28230803283.9112,104.507232358092
Indra,Dec,32062423970.8521,105.059963526211
Indra,Dec,66027462491.5978,108.197246071765
Indra,Apr,81520123806.5249,109.112648305721
Indra,Apr,90268257282.4395,109.555350580582
Indra,Apr,163301581140.161,112.129903897405
Indra,Apr,187934313384.861,112.740060816077
Indra,Apr,215346410288.553,113.331376366983
Indra,Apr,219056138418.639,113.405554275393
Indra,Apr,213822619060.864,113.300536448097
JJTug,May,6280900011.05427,97.9802187969717
JJTug,May,9889535734.84776,99.9517590408187
JJTug,May,55303439164.9479,107.427521396938
JJTug,May,37361711411.5354,105.724267615506
JJTug,May,17504220554.431,102.431427768293
JJTug,May,15541882174.7767,101.915036121883
JJTug,May,11243748163.1634,100.50911109741
JJTug,Jul,3262089544.76952,95.134958783062
JJTug,Jul,3638527824.55306,95.609257004073
JJTug,Jul,9515077580.77742,99.7841233363893
JJTug,Jul,23608122479.3616,103.730614496253
JJTug,Jul,139436093688.803,111.443752074843
JJTug,Jul,29824882556.0578,104.745787421879
JJTug,Jul,25697009107.7601,104.098825784447
JJTug,Jul,18096783603.5056,102.576013932462
JJTug,Sep,783453874646.38,118.940134327431
JJTug,Sep,595681832672.267,117.75014355025
JJTug,Sep,428793119649.053,116.322478081156
JJTug,Sep,375194834539.86,115.742568506391
JJTug,Sep,372091504049.443,115.706497539061
JJTug,Sep,426312322000.04,116.297278855425
JJTug,Sep,529752970235.849,117.240734004058
JJTug,Oct,1927936431.92966,92.8509271021136
JJTug,Oct,3068203019.19222,94.8688409295549
JJTug,Oct,8121825066.92529,99.096536311418
JJTug,Oct,68732530928.1013,108.371623361667
JJTug,Oct,65675695467.1926,108.174046804069
JJTug,Oct,24962798150.3833,103.972932650312
JJTug,Oct,26657417729.516,104.258180775558
JJTug,Dec,3676115236.91598,95.6538911696116
JJTug,Dec,8317955431.8433,99.2001658905652
JJTug,Dec,3516294360.11733,95.4608522408763
JJTug,Dec,6018180353.48261,97.794651985833
JJTug,Dec,8260227140.40583,99.1699198974999
JJTug,Dec,8195892431.93622,99.1359624981175
JJTug,Dec,7750308850.64802,98.8931900953335
JJTug,Apr,91828023797.9474,109.629752381025
JJTug,Apr,90776829164.0804,109.579750087594
JJTug,Apr,129534423566.194,111.123851968204
JJTug,Apr,175024997997.179,112.431000813543
JJTug,Apr,251610156696.148,114.007281682043
JJTug,Apr,253223405455.351,114.03503845067
JJTug,Apr,239527958321.503,113.793562126821
